"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 18 03:16:03 ICT 2023","Sun Jun 18 03:16:30 ICT 2023","26399","Testcase","Agreement-LS_FP","","","","[TC-14] Login dengan user hanya melengkapi bank_account **INSTITUSIONAL**","
    Melakukan login dengan user yang hanya melengkapi data bank_account.
    (expect: tidak akan menampilkan popup agreement)

    **Kondisi saat ini:**
    [Menu Pengguna] -> [Menu Bank Account].

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:19:37 ICT 2023","Sun Jun 18 03:42:14 ICT 2023","1356775","Testcase","Agreement-LS_FP","","","","[TC-19] Login dengan semua user partner **PARTNER**","
    Melakukan login dengan user partner.
    (memastikan user partner tidak mendapatkan tanda tangan perjanjian)
    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:12:03 ICT 2023","Sun Jun 18 03:12:32 ICT 2023","29025","Testcase","Agreement-LS_FP","","","","[TC-7] Login Kembali Dengan User Yang Sudah Tanda Tangan Perjanjian **INDIVIDUAL**","
    Melakukan login dengan user yang sudah pernah melakukan tanda tangan perjanjian.
    (expect : sudah tidak menampilkan popup agreement)

    **kondisi saat ini**
    melakukan register lender individual melalui mekar.id

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:10:34 ICT 2023","Sun Jun 18 03:12:03 ICT 2023","89361","Testcase","Agreement-LS_FP","","","","[TC-6] Login dengan user Verified **INDIVIDUAL**","
    Melakukan login dengan user (baru) yang sudah Verified .
    lakukan tanda tangan perjanjian sampai check box lalu logout dan kembali login 
    dan melakukan tanda tangan perjanjian sampai selesai muncul popup close 

    (expect: menampilkan popup agreement karena sudah verified dan credit scoring sudah terisi )

    **kondisi saat ini**
    melakukan register lender individual melalui mekar.id

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:19:15 ICT 2023","Sun Jun 18 03:19:37 ICT 2023","22059","Testcase","Agreement-LS_FP","","","","[TC-18] Login Kembali Dengan User Yang Sudah Tanda Tangan Perjanjian [2] **INSTITUSIONAL**","
    Melakukan login dengan user yang sudah pernah melakukan tanda tangan perjanjian.
    (expect : sudah tidak menampilkan popup agreement)

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:16:30 ICT 2023","Sun Jun 18 03:17:24 ICT 2023","53965","Testcase","Agreement-LS_FP","","","","[TC-15] Login dengan user verified belum melengkapi bank_account **INSTITUSIONAL**","
    Melakukan login dengan user yang sudah terverified tetapi belum melengkapi bank_account.
    (**expect:** popup sign agreement tampil, karena user sudah verified )
    
    Langkah-langkah ini meliputi ...

"
"passed","Sun Jun 18 03:13:59 ICT 2023","Sun Jun 18 03:14:29 ICT 2023","30404","Testcase","Agreement-LS_FP","","","","[TC-10] Login dengan user belum verified  **INSTITUSIONAL**","
    Melakukan login dengan user yang sudah melengkapi data tetapi belum verified

    (expect: tidak akan menampilkan popup agreement)

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:09:07 ICT 2023","Sun Jun 18 03:09:25 ICT 2023","17648","Testcase","Agreement-LS_FP","","","","[TC-3] Login dengan user Rejected **INDIVIDUAL**","
    Melakukan login dengan user rejected dengan KYC.
    (expect: tidak akan menampilkan popup agreement)

    **kondisi saat ini**
    melakukan register lender individual melalui mekar.id

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:14:29 ICT 2023","Sun Jun 18 03:14:47 ICT 2023","17965","Testcase","Agreement-LS_FP","","","","[TC-11] Login dengan user rejected  **INSTITUSIONAL**","
    Melakukan login dengan user yang sudah melengkapi data tetapi di rejected.
    (expect: tidak akan menampilkan popup agreement)
    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:44:19 ICT 2023","Sun Jun 18 03:45:22 ICT 2023","62709","Testcase","Agreement-LS_FP","","","","[TC-13] Login dengan user verified dan bank_account Notify to funder **INSTITUSIONAL**","
    Melakukan login dengan user yang sudah melengkapi data dan bank_account Notify to funder .
    (expect: menampilkan popup agreement karena sudah verified dan credit scoring sudah terisi )

    [expect : popup sign agreement tampil.]
    
    **Kondisi saat ini:**
    [Menu Pengguna] -> [Menu User Profile] -> [Menu Bank Account].

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:17:24 ICT 2023","Sun Jun 18 03:18:52 ICT 2023","88231","Testcase","Agreement-LS_FP","","","","[TC-16] Login dengan user Verified **INSTITUSIONAL**","
    Melakukan login dengan user yang sudah Verified.
    lakukan tanda tangan perjanjian sampai check box lalu logout dan kembali login 
    dan melakukan tanda tangan perjanjian sampai selesai muncul popup close 

    **Kondisi saat ini:**
    [Menu Pengguna] -> [Menu User Profile] -> [Menu Bank Account].

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:09:44 ICT 2023","Sun Jun 18 03:10:34 ICT 2023","49493","Testcase","Agreement-LS_FP","","","","[TC-5] Login dengan user existing Verified **INDIVIDUAL**","
    Melakukan login dengan user (lama) yang sudah verified.
    (expect: menampilkan popup agreement karena sudah verified dan credit scoring sudah terisi)

    **kondisi saat ini**
    melakukan register lender individual dengan user existing

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:12:32 ICT 2023","Sun Jun 18 03:13:04 ICT 2023","31782","Testcase","Agreement-LS_FP","","","","[TC-8] Login Kembali Dengan User Yang Sudah Tanda Tangan Perjanjian **INDIVIDUAL**","
    Melakukan login dengan user yang sudah pernah melakukan tanda tangan perjanjian.
    (expect : sudah tidak menampilkan popup agreement)

    **kondisi saat ini**
    melakukan register lender individual melalui mekar.id

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:14:47 ICT 2023","Sun Jun 18 03:15:10 ICT 2023","22664","Testcase","Agreement-LS_FP","","","","[TC-12] Login dengan user belum melengkapi data **INSTITUSIONAL**","
    Melakukan login dengan user yang belum melengkapi data sama sekali.
    (expect: tidak akan menampilkan popup agreement)
    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:18:52 ICT 2023","Sun Jun 18 03:19:15 ICT 2023","22920","Testcase","Agreement-LS_FP","","","","[TC-17] Login Kembali Dengan User Yang Sudah Tanda Tangan Perjanjian [1] **INSTITUSIONAL**","
    Melakukan login dengan user yang sudah pernah melakukan tanda tangan perjanjian.

    (expect : tidak akan menampilkan agreement)
    Langkah-langkah ini meliputi ...

"
"passed","Sun Jun 18 03:07:19 ICT 2023","Sun Jun 18 03:08:35 ICT 2023","75687","Testcase","Agreement-LS_FP","","","","[TC-1] Login dengan user verified **INDIVIDUAL**","
    Melakukan login dengan user sudah terverifikasi sebagai INDIVIDUAL.
    (expect: menampilkan popup agreement karena sudah verified dan credit scoring sudah terisi )

    **kondisi saat ini**
    melakukan register lender individual melalui mekar.id

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:09:25 ICT 2023","Sun Jun 18 03:09:44 ICT 2023","19335","Testcase","Agreement-LS_FP","","","","[TC-4] Login dengan user belum melengkapi data **INDIVIDUAL**","
    Melakukan login dengan user yang belum melengkapi data sama sekali.
    (expect: tidak akan menampilkan popup agreement)
    
    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:13:04 ICT 2023","Sun Jun 18 03:13:59 ICT 2023","54527","Testcase","Agreement-LS_FP","","","","[TC-9] Login dengan user verified **INSTITUSIONAL**","
    Melakukan login dengan user yang sudah melengkapi data dan terverifikasi.
    (expect: menampilkan popup agreement karena sudah verified dan credit scoring sudah terisi )

    **Kondisi saat ini:**
    [Menu Pengguna] -> [Menu User Profile] -> [Menu Bank Account].

    **Defect** [solve]
    [Popup agreement tidak muncul, pada user yang sudah melengkapi data dan verified.]

    **Solusi** [solve]
    [Pada saat lender register di meker.id, fullname / nama lengkap di insert ke database FP dan profile.db (lender_personalinfo).
    atau pada saat mengisi [Menu Pengguna] insert ke profile.db(lender_personalinfo)

    Langkah-langkah ini meliputi ...
"
"passed","Sun Jun 18 03:08:35 ICT 2023","Sun Jun 18 03:09:07 ICT 2023","32667","Testcase","Agreement-LS_FP","","","","[TC-2] Login dengan user belum Verified **INDIVIDUAL**","
    Melakukan login dengan user yang masih menunggu proses KYC untuk diverifikasi.
    (expect: tidak akan menampilkan popup agreement)

    **Kondisi saat ini:**
    Melakukan registrasi lender individual melalui mekar.id

    Langkah-langkah ini meliputi ...
"
